Contract,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,Contract No.,Contract Status,Contract Type,Vendor(Vendor)_Vendor ID,Contract Document Code,Phase,City,Department ID,Contract Total Amount,Approved Job Orders Total,Not-Yet Approved Job Orders Total,Available Amount,NTP Date Construction/Sign Date Design,Award Date (Construction) / Sign Date (Design),Contract Duration,Revised Timeline,State_State,Contract(Master Contract)_Contract No.,Project Names,Type of Service,Project Delivery Method,Encumbrance/Not to Exceed (MA),Award Date,Award Date_Award Date
Master On-Call Soils and Materials Testing 2020-2023 - ACS Services,MA-F165-21000167,Approved,Design Professional Master Contract,CNV130575,MA,102 - Design,Mesa,F165,250000,0,0,250000,,,0,0,AZ,,,Professional Service,NA,0,,
CP0586SOEC Ped Traffic Signal at Southern and Eastern Canal - Talis Job Order,DO-F165-21001760,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,249716.67,0,0,249716.67,10/19/2020 00:00:00,09/22/2020 00:00:00,90,91,AZ,MA-F165-19003186R1,New Pedestrian Traffic Signal Construction at Southern Avenue and Eastern Canal,Construction,Job Order Contracting (JOC),0,,
CP0381CAP SEWRP Invent Mixer -  - Controlled Energy Engineers,CT-F165-15000125,Approved,Consultant Standard Terms Contract,VS0000004211,CT,102 - Design,Mesa,F165,7572,0,0,7572,05/15/2015 00:00:00,,35,36,AZ,,Filter Repair Project at SEWRP,Professional Service,,0,,
2023120Ctest1,2023120C1,Estimate,Consultant Standard Terms Contract,v1,MA,,,F920,0,0,0,0,,,0,0,,,2023120Ptest2,Professional Service,NA,0,,
Master On-Call 2016 RENEWAL: Electrical Engineering UTILITY Design - TOR Eng,MA-F165-17000166R1,Approved,Design Professional Master Contract,CNV483087,MA,102 - Design,Phoenix,F165,1000000,252975.4,0,747024.6,11/14/2017 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
LF0033J06B Street Overlays J06B,DO-F165-15003769,Approved,Job Order,CNV570044,DO,,Tempe,F165,989733.75,0,0,989733.75,10/28/2014 00:00:00,,120,0,AZ,MA-F920-13000770Y2,Residential Street Overlay J06B,Construction,Job Order Contracting (JOC),989733.75,,
CP0626-0008 Greenfield WRP Misc Equipment Replacement PCL Job Order,DO-F165-18009352,Approved,Job Order,VS0000000927,DO,104 - Construction,Tempe,F165,237127,0,0,237127,07/26/2018 00:00:00,,141,142,AZ,MA-F165-18000006R1,"GWRP Miscellaneous Equipment Replacement 2017, GWRP Miscellaneous Equipment Replacement 2017 - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
Master On-Call 2016: Electrical Engineering GENERAL Design - CR Engineers,MA-F165-17000157,Closed,Design Professional Master Contract,VS0000001080,MA,102 - Design,Fountain Hills,F165,1000000,0,0,1000000,,,0,0,AZ,,,Professional Service,NA,0,,
CP0830PS08 Transfer Station 2 - JR Filanc Construction - Preconstruction Contract,CT-F165-23000040,Approved,CMAR Pre-Construction Services Contract,CNV136786,CT,102 - Design,Escondido,F165,62163.13,0,0,62163.13,10/19/2022 00:00:00,10/19/2022 00:00:00,240,241,CA,,"TS2 Upgrades, TS2 Upgrades - FUNDING ONLY",Construction,Construction Manager at Risk (CMAR),0,,
CP0381CAP SWRP Invent Mixer PHASE 2,CT-F165-16000218,Approved,Consultant Standard Terms Contract,VS0000004211,CT,102 - Design,Mesa,F165,4572,0,0,4572,05/05/2015 00:00:00,,45,0,AZ,,Filter Repair Project at SEWRP,Professional Service,,0,,
CP0212CAP Mesa Aquatic Facility CP0212 Sun Eagle Builders,CT-F165-15000006,Closed,CMAR Construction Services Contract,CNV273015,CT,104 - Construction,Chandler,F165,6572243.84,0,0,6572243.84,07/21/2014 00:00:00,,270,0,AZ,,Mesa Aquatic Complex,Construction,Construction Manager at Risk (CMAR),0,,
CP0583CEP2B-2 Cemetery North Expansion Low Mountain Construction,CT-F165-21000079,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV512915,CT,104 - Construction,Phoenix,F165,2675266.81,0,0,2675266.81,04/26/2021 00:00:00,,180,300,AZ,,"Cemetary North Expansion Phase I - Child ONLY - Needed for expending remaining budget, Cemetery Expansion Phase II, Cemetery North Expansion (PH 1 &amp; 2)",Construction,Design Bid Build (DBB),0,,
LF0351 Stapley Aquatic Complex Renovations Shasta Industries Cooperative Agreement,CT-F165-21000018,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV145955,CT,120 - Direct Expenses,Scottsdale,F165,1416071.93,0,0,1416071.93,09/21/2020 00:00:00,08/31/2020 00:00:00,230,231,AZ,,"Stapley Aquatic Complex Renovations, Stapley Pool Re-Decking and Gutter Replacements - FUNDING ONLY",Construction,Design Bid Build (DBB),0,,
CP0716BOIL - Cubs Boiler Replacement - ESD Design,DO-F165-22010715,Approved,Design Professional Services Contract,VS0000001771,DO,102 - Design,Scottsdale,F165,21820,0,0,21820,06/28/2022 00:00:00,06/28/2022 00:00:00,30,116,AZ,,"Cubs Boiler Replacement, Cubs Boiler Replacement - FUNDING ONLY",Professional Service,NA,7380,,
CP1109 Visit Mesa Building Remodel Adaptive Architects Project Order,DO-F165-22007261,Approved,Project Order,CNV380229,DO,102 - Design,Mesa,F165,100779,0,0,100779,03/10/2022 00:00:00,03/10/2022 00:00:00,90,91,AZ,MA-F165-21000157R1,"Visit Mesa Building Remodel, Visit Mesa Building Remodel - FUNDING ONLY",Professional Service,NA,0,,
Master Agreement Water PCL Construction,MA-F165-14000499R1,Approved,Job Order Master,VS0000000927,MA,,Tempe,F165,10000000,280457,185000,9534543,01/10/2015 00:00:00,,,0,AZ,,,Construction,Job Order Contracting (JOC),10000000,,
Master On-Call W/WW Plant Services - Carollo,MA-F165-21000090R1,Approved,Design Professional Master Contract,CNV133507,MA,,Salt Lake City,F165,1000000,0,0,1000000,09/30/2021 00:00:00,09/30/2021 00:00:00,365,366,UT,,,Professional Service,NA,0,,
LF0098TYLR Taylor Pool Demolition Caliente Construction Inc,DO-F165-15011569,Approved,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,119735.94,0,0,119735.94,10/13/2015 00:00:00,,30,-68,AZ,MA-F165-15000199,Demolition of Taylor Pool,Construction,Job Order Contracting (JOC),119735.94,,
Master On-Call RENEWAL: Mechanical Engineering - Spectrum Engineers,MA-F165-15000164R1,Closed,Design Professional Master Contract,VS0000003513,MA,102 - Design,Salt Lake City,F165,1000000,0,0,1000000,10/02/2015 00:00:00,,,0,UT,,,Professional Service,,1000000,,
CP0255CAP Street Improvements Medina & Hawes,DO-F165-16001253,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,116543.56,0,0,116543.56,09/03/2014 00:00:00,,90,0,AZ,MA-F165-13000770Y3,Street Improvements Medina &amp; Hawes,Construction,Job Order Contracting (JOC),116543.56,,
CP0461-0016 CMAR Robson Electrical Substation East Bay Transformer - Switchgear Replacement - GMP No. 1 ESS Corporation,CT-F165-20000040,Approved,CMAR Construction Services Contract,VC0000043842,CT,104 - Construction,Gilbert,F165,1078817.88,0,0,1078817.88,08/13/2019 00:00:00,07/17/2019 00:00:00,190,328,AZ,,"Rebuild Robson East Substation, Rebuild Robson East Substation Funding Only",Construction,Construction Manager at Risk (CMAR),0,,
JOC-L19 Job Order Master Agreement: Haydon Building Corp RENEWAL,MA-F165-20000016R1,Estimate,Job Order Master,CNV527408,MA,104 - Construction,Phoenix,F165,5000000,0,0,5000000,07/11/2020 00:00:00,07/11/2020 00:00:00,364,365,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0299HRMY Harmony Park Improvements Valley Rain,DO-F165-17003807,Closed,Job Order,MAR222550210,DO,104 - Construction,Tempe,F165,880698.04,0,0,880698.04,,,150,0,AZ,MA-F165-16000373,Harmony Park Irrigation System Improvements,Construction,Job Order Contracting (JOC),880698.04,,
Master Agreement Renewal 2 - Water - Felix Construction,MA-F165-14000500R2,Approved,Job Order Master,CNV159034,MA,104 - Construction,Coolidge,F165,10000000,2473503.83,282870.2,7243625.97,01/10/2016 00:00:00,01/07/2016 00:00:00,,0,AZ,,,Construction,Job Order Contracting (JOC),10000000,,
OT0093 COM ARIZONA NATURAL HISTORY MUSEUM RADON GAS MITIGATION / Adaptive Arch.,DO-F165-19003698,Approved,Project Order,CNV380229,DO,102 - Design,Mesa,F165,3690,0,0,3690,11/08/2018 00:00:00,11/08/2018 00:00:00,80,81,AZ,MA-F165-17000204R1,"AZMNH Radon Mitigation, AZMNH Radon Mitigation-FUNDING ONLY",Professional Service,NA,3690,,
CP0643SB02 SBWTP Switchgear Improvements - Jensen Engineering Project Order,DO-F165-20008589,Approved,Project Order,CNV385395,DO,102 - Design,Cave Creek,F165,19305,0,0,19305,05/14/2020 00:00:00,05/14/2020 00:00:00,150,151,AZ,MA-F165-19000132R1,"SBWTP Switchgear Improvements, SIGNAL BUTTE WTP MISC. PLANT IMP - FUNDING ONLY",Professional Service,NA,14025,,
14000065,MA-F165-14000065,Approved,Design Professional Master Contract,CNV706930,MA,,Phoenix,F165,1000000,0,0,1000000,12/22/2011 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
Master ON-Call 2016: Electrical Engineering GENERAL Design - ESD,MA-F165-17000158,Closed,Design Professional Master Contract,VS0000001771,MA,102 - Design,Scottsdale,F165,1000000,0,0,1000000,,,0,0,AZ,,,Professional Service,NA,0,,
Tempe Canal Shared Use Path - Alma School Rd to Rio Salado CP0706 J2 Engineering & Environmental,CT-F165-17000101,Closed,Design Professional Services Contract,CNV706930,CT,102 - Design,Phoenix,F165,10090.79,0,0,10090.79,01/12/2017 00:00:00,01/12/2017 00:00:00,53,54,AZ,,"Tempe Canal Shared Use Path - Alma School to Rio Salado, Tempe Canal Shared Use Path - Alma School to Rio Salado - FUNDING ONLY",Professional Service,NA,0,,
Master On-Call 2018 Mechanical Engineering: Spectrum,MA-F165-19000039,Closed,Design Professional Master Contract,VS0000003513,MA,102 - Design,Salt Lake City,F165,1000000,0,0,1000000,08/23/2018 00:00:00,,0,0,UT,,,Professional Service,NA,0,,
Master On-Call 2018/2019: Falcon Field Airport - Jviation,MA-F165-19003178,Approved,Design Professional Master Contract,CNV106542,MA,102 - Design,Denver,F165,1000000,99977,182933.8,717089.2,06/13/2019 00:00:00,06/13/2019 00:00:00,0,0,CO,,,Professional Service,NA,0,,
CP0744 Drainage Improvements at Gilbert/Hackamore B&F Job Order,DO-F165-18008929,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,371361.28,0,0,371361.28,,05/10/2018 00:00:00,120,0,AZ,MA-F165-16000376R2,"Gilbert and Hackamore Drainage, Gilbert and Hackamore Drainage - FUNDING ONLY, Gilbert and Hackamore Drainage - GRANT FUNDING ONLY",Construction,Job Order Contracting (JOC),394108.46,,
CP0642 City Well Drilling - Clear Creek,CT-F165-21000032,Approved,Design Professional Services Contract,CNV6866,CT,102 - Design,Ontario,F165,44780,0,0,44780,09/30/2020 00:00:00,09/30/2020 00:00:00,180,181,CA,,"Replacement Well Drilling:  City Well 13 - FUNDING ONLY, Replacement Well Drilling:  City Well 16 - FUNDING ONLY, Replacement Well Drilling:  City Well 9 - FUNDING ONLY, Replacement Well Drilling:  City Well 9, City Well 13, City Well 16, Desert Well 7, Falcon Field 2, Replacement Well Drilling:  Desert Well 7 - FUNDING ONLY, Replacement Well Drilling:  Falcon Field 2 - FUNDING ONLY",Professional Service,NA,0,,
CP0204PD Police Department Headquarters Building Renovation DFDG Architecture,CT-F165-22000075,Approved,Design Professional Services Contract,VS0000009521,CT,102 - Design,Phoenix,F165,258511,0,0,258511,01/11/2022 00:00:00,01/11/2022 00:00:00,180,181,AZ,,Police Department Headquarters Building Renovation,Professional Service,NA,0,,
CP0108CAP West Mesa Connector,CT-F165-15000061,Closed,Design Professional Services Contract,CNV706930,CT,102 - Design,Phoenix,F165,288330.9,0,0,288330.9,01/13/2015 00:00:00,01/13/2015 00:00:00,480,481,AZ,,Stadium Connector,Professional Service,,0,,
Master On-Call RENEWAL: Transportation - Kimley-Horn,MA-F165-15000195R1,Closed,Design Professional Master Contract,CNV445118,MA,102 - Design,City Of Industry,F165,1000000,251410,0,748590,10/16/2015 00:00:00,,,0,CA,,,Professional Service,,1000000,,
Master On-Call RENEWAL: Wastewater Facilities - Stantec,MA-F165-15000141R1,Closed,Design Professional Master Contract,VS0000000998,MA,102 - Design,Chicago,F165,1000000,98600,0,901400,10/02/2015 00:00:00,,,0,IL,,,Professional Service,,1000000,,
CP0544 PSTF Driving Track - Nesbitt Contracting,CT-F165-21000109,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV462756,CT,104 - Construction,Tempe,F165,2619912.25,0,0,2619912.25,06/21/2021 00:00:00,06/02/2021 00:00:00,90,91,AZ,,"MPSTF - Driving Track, MPSTF - Driving Track FUNDING ONLY",Construction,Design Bid Build (DBB),0,,
LF0495MCKL Arterial Street Overlay McKellips: 32nd Street to Eastern Canal Talis Construction Corporation/JOC,DO-F165-22004265,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,712814.5,0,0,712814.5,02/01/2022 00:00:00,12/02/2021 00:00:00,180,181,AZ,MA-F165-19003186R2,"Overlay Arterial Streets MS07B/MS08A – McKellips Road, Overlay Arterial Streets MS07B/MS08A – McKellips Road -FUNDING ONLY",Construction,Job Order Contracting (JOC),712814.5,,
Eagles Park Phase 2 CP0211P2 J2 Engineering & Environmental Design,CT-F165-17000115,Approved,Design Professional Services Contract,CNV706930,CT,102 - Design,Phoenix,F165,455929,0,0,455929,02/07/2017 00:00:00,02/07/2017 00:00:00,77,78,AZ,,"CAP Eagles Park Conversion Phase 2 - FUNDING ONLY, Eagles Park Conversion Phase 2",Professional Service,NA,0,,
Master On-Call: Landscape Arch - Gavan & Barker,MA-F165-14000615,Closed,Design Professional Master Contract,VS0000001561,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,05/07/2014 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
14000310,MA-F165-14000310,Approved,Design Professional Master Contract,VS0000001831,MA,,Phoenix,F165,1000000,0,0,1000000,07/09/2013 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
CP0695 Police Evidence Facility - Civil Design Services Sunrise Engineering Project Order,DO-F165-22000935,Approved,Project Order,CNV417408,DO,102 - Design,Phoenix,F165,91704,0,0,91704,08/05/2021 00:00:00,08/05/2021 00:00:00,300,301,AZ,MA-F165-21000035R1,"Police Evidence Facility, Police Evidence Facility - FUNDING ONLY",Professional Service,NA,91704,,
CP0084 PD Holding Facility Renovation  EMC2 Group Architects,DO-F165-14010907,Approved,Project Order,MAR6000224405,DO,102 - Design,Mesa,F165,20765,0,0,20765,07/17/2014 00:00:00,,60,0,AZ,MA-F165-14000084,Police Holding Facility Improvements,Professional Service,,20765,,
CP0767 Red Mtn Multi-Gen Chiller and EMS Improvement Design Pearson Engineering,DO-F165-17007293,Approved,Project Order,VS0000001699,DO,102 - Design,Phoenix,F920,129310,0,0,129310,,03/30/2017 00:00:00,180,0,AZ,MA-F165-17000058,"Red Mtn Multi-Generaltional Chiller and EMS Replacements, Red Mtn Multi-Generational Chiller and EMS Replacements",Professional Service,NA,122110,,
CP04780008 Northwest Water Reclamation Plant Flowmeter Installations Felix Construction Co,DO-F165-16002731,Approved,Job Order,CNV159034,DO,104 - Construction,Coolidge,F165,19500.86,0,0,19500.86,12/01/2015 00:00:00,,14,0,AZ,MA-F165-14000500R1,Northwest Water Reclamation Plant Flowmeter Installations,Construction,Job Order Contracting (JOC),19500.86,,
Gas Service for Jack in the Box CP04810083 B & F Contracting,DO-F165-17009534,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,19968.97,0,0,19968.97,,06/01/2017 00:00:00,21,0,AZ,MA-F165-16000376R1,"Gas Service - Jack in the Box -  37723 N. Gantzel Road San Tan Valley, Gas Service - Jack in the Box - Funding Only",Construction,Job Order Contracting (JOC),18970.52,,
CP0920 The Plaza at Mesa City Center - DPR Construction CMAR Contract,CT-F165-21000068,Approved,CMAR Construction Services Contract,VS0000012612,CT,104 - Construction,Phoenix,F165,6671361.53,0,0,6671361.53,02/15/2021 00:00:00,,365,366,AZ,,"The Plaza at Mesa City Center, The Plaza at Mesa City Center - Funding Only",Construction,Construction Manager at Risk (CMAR),0,,
CP04680001 Commercial WMA (Water Meter Assembly) Rehabilitations – Phase 11 Sunrise Engineering Project Order,DO-F165-20002000 (OLD-19005728),Approved,Project Order,CNV417408,DO,102 - Design,Phoenix,F165,18610,0,0,18610,,01/15/2019 00:00:00,0,0,AZ,MA-F165-19000084,"Commercial WMA Rehabilitation - Phase 11A, Water Meter Vault Rehab 15-19 - FUNDING ONLY",Professional Service,NA,0,,
LF0281G04D Overlay Residential Streets G04D (McKellips and Lindsay)/ Talis JOC,DO-F165-20000227,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,1147318.01,0,0,1147318.01,07/18/2019 00:00:00,07/17/2019 00:00:00,175,176,AZ,MA-F165-19003186,"N/O Mckellips Rd to W/O Lindsay Rd - FUNDING ONLY, Street Overlay N/O Mckellips Rd to W/O Lindsay Rd (QS 50D)",Construction,Job Order Contracting (JOC),1158737.85,,
Storm Water Pump Station Rehabilitation Various Locations,CT-F165-17000097,Approved,Design Professional Services Contract,VC0000002135,CT,102 - Design,Mesa,F920,128135,0,0,128135,01/05/2017 00:00:00,01/05/2017 00:00:00,365,1517,AZ,,"Emerald Park Pump Station No.147 Rebuild, Storm Drain Pump 155 (Sherwood Park), Storm Drain Pump 165 (Heritage Park), Storm Water Pump Station No.119 (Green Space east of Val Vista), Storm Water Pump Station No.138 Rebuild (Harmony Park), Storm Water Pump Station No.140 Rebuild (Kingsborough Park)",Professional Service,NA,0,,
LF0119 Bus Shelter Maintenance TALIS,DO-F165-19001796,Approved,Job Order,CNV570044,DO,120 - Direct Expenses,Mesa,F165,333565.08,0,0,333565.08,,09/04/2018 00:00:00,120,0,AZ,MA-F165-16000375R2,"Bus Shelter Maintenance, Transit Shelter Maintenance-Funding Only",Construction,Job Order Contracting (JOC),352814.48,,
LF0586SHAD (previously GR05202201) Mesa Amphitheater Shuttered Venue GH2 Architects Project Order,DO-F165-22008169,Approved,Project Order,VS0000011617,DO,102 - Design,Tulsa,F165,28208,0,0,28208,05/11/2022 00:00:00,05/11/2022 00:00:00,90,91,OK,MA-F165-21000159R1,"Mesa Amphitheater, Mesa Amphitheater Shuttered Venue Operating Grant Modifications - FUNDING ONLY",Professional Service,NA,0,,
CP0381SES - SEWRP SES Replacement,DO-F165-16005310,Approved,Job Order,CNV159034,DO,104 - Construction,Coolidge,F165,210119,0,0,210119,,01/07/2016 00:00:00,,0,AZ,MA-F165-14000500R1,SEWRP SES Replacement,Construction,Job Order Contracting (JOC),210119,,
CP0710 Broadway Road Corridor Study Ritoch Powell Associates Design Contract,CT-F165-17000113,Approved,Design Professional Services Contract,CNV159158,CT,102 - Design,Phoenix,F165,378238,0,0,378238,01/31/2017 00:00:00,01/31/2017 00:00:00,270,271,AZ,,"Broadway Road Corridor Study ""DO"", Broadway Road:Tempe City Limits to Gilbert Rd - FUNDING ONLY",Professional Service,NA,0,,
Hazen & Sawyer - Master On-Call Agreement - Water/Wastewater Plant Services,MA-F165-21000092R1,Approved,Design Professional Master Contract,VS0000004871,MA,102 - Design,Hicksville,F165,1000000,0,0,1000000,10/15/2021 00:00:00,10/15/2021 00:00:00,365,366,NY,,,Professional Service,NA,0,,
Master On-Call 2018: Water & Wastewater Plant Design - NCS,MA-F165-19000095,Approved,Design Professional Master Contract,CNV659533,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/03/2018 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
Master On-Call: Architectural Projects - Emc2 Group,MA-F165-15000241,Closed,Design Professional Master Contract,MAR6000224405,MA,102 - Design,Mesa,F165,1000000,101395,0,898605,12/01/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
LF0033G09D Residential Street Overlays - Asphatl Only,CT-F165-17000050,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV462756,CT,120 - Direct Expenses,Tempe,F920,952738.24,0,0,952738.24,07/25/2016 00:00:00,07/20/2016 00:00:00,60,0,AZ,,Residential Overlay-G09D,Construction,Design Bid Build (DBB),0,07/12/2016 00:00:00,
C10460 Porter Park Pathway Visus DBB Contract,CT-F165-16000086,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV690120,CT,104 - Construction,Mesa,F165,1404687.74,0,0,1404687.74,01/19/2016 00:00:00,01/14/2016 00:00:00,120,121,AZ,,Porter Park Pathway,Construction,Design Bid Build (DBB),0,,
LF0281A08D Residential Street Overlays (Broadway and Dobson Roads) / JOC,DO-F165-19008551,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,703704.22,0,0,703704.22,04/15/2019 00:00:00,04/10/2019 00:00:00,180,181,AZ,MA-F165-16000375R2,"Overlay-N/O Southern Ave to W/O Dobson Rd, Overlay-N/O Southern Ave to W/O Dobson Rd - FUNDING ONLY",Construction,Job Order Contracting (JOC),718882.5,,
LF0281G06D Overlay Residential Streets G06D (University/Lindsay) Talis/JOC,DO-F165-20007725,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,1108921.6,0,0,1108921.6,03/30/2020 00:00:00,03/26/2020 00:00:00,180,181,AZ,MA-F165-19003186,"Overlay Residential Street G06D - FUNDING ONLY, Overlay Residential Street G06D (QS 52D) (University/Lindsay)",Construction,Job Order Contracting (JOC),1092731.11,,
LF0099BWTP Brown Rd WTP Fire Alarm Upgrades - Caliente Construction,DO-F165-15007123,Approved,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,57672.46,0,0,57672.46,05/11/2015 00:00:00,,90,0,AZ,MA-F165-15000199,Fire Alarm for Brown Rd Water Treatment Plant,Construction,Job Order Contracting (JOC),57672.46,,
CP0298DBSN Ball Field Lighting Package 4,DO-F165-14010892,Approved,Job Order,MAR222550210,DO,104 - Construction,Tempe,F165,959172.47,0,0,959172.47,08/14/2014 00:00:00,,81,0,AZ,MA-F165-14000392R1,Dobson High - 4 Fields,Construction,Job Order Contracting (JOC),997062.47,,
Master On-Call 2016 RENEWAL: Water & Wastewater Plants - Wilson Engineers,MA-F165-17000102R1,Closed,Design Professional Master Contract,CNV309540,MA,102 - Design,Phoenix,F165,1000000,31725,0,968275,10/03/2017 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
LF0447 Red Mountain Multi-Generational Center Fire Alarm Upgrades Metro Fire Equipment Job order,DO-F165-23000229,Approved,Job Order,CNV616060,DO,104 - Construction,Gilbert,F165,144036.52,0,0,144036.52,09/06/2022 00:00:00,07/26/2022 00:00:00,245,246,AZ,MA-F165-22000025,"Fire Alarm Replacement at Red Mountain Center, Fire Alarm Replacement at Red Mountain Center - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
LF0052KILN Mesa Art Center Ceramic Kiln Replacement IMEG,DO-F165-18001086,Approved,Project Order,VS0000010148,DO,102 - Design,Rock Island,F165,4790,0,0,4790,,08/17/2017 00:00:00,63,0,IL,MA-F165-17000160,"Ceramic Kiln Replacement at the MAC, Ceramics Kiln Replacement at the MAC-funding only",Professional Service,NA,4790,,
Master On-Call RENEWAL: Wastewater Facilities - Water Works Engineers,MA-F165-15000146R1,Closed,Design Professional Master Contract,CNV67806,MA,102 - Design,Scottsdale,F165,1000000,240991,0,759009,10/02/2015 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
Master On-Call RENEWAL: Falcon Field Airport Consulting Services - Dibble,MA-F165-16000264R1,Closed,Design Professional Master Contract,CNV241687,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,02/10/2017 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
Master On-Call RENEWAL: Landscape Arch - Kimley-Horn,MA-F165-14000617R1,Closed,Design Professional Master Contract,CNV445118,MA,102 - Design,City Of Industry,F165,1000000,0,0,1000000,05/13/2015 00:00:00,,,0,CA,,,Professional Service,,1000000,,
Skyline Road Gas Line Extension & Regulator Station - Electrical Scada Design C10376SRHP Jensen Eng,CT-F165-16000134,Approved,Design Professional Services Contract,CNV385395,CT,102 - Design,Cave Creek,F165,10967,0,0,10967,06/20/2016 00:00:00,06/20/2016 00:00:00,60,61,AZ,,"Skyline HP Gas and Regulator Station - Circle Cross Ranch to Hunt Highway - FUNDING ONLY, Skyline HP Gas and Regulator Station - Circle Cross Ranch to Hunt Highway Master",Professional Service,NA,0,,
Master On-Call 2018 RENEWAL: Electrical Engineering GENERAL Design - Bridgers & Paxton,MA-F165-19000129R1,Approved,Design Professional Master Contract,VS0000001802,MA,102 - Design,Albuquerque,F165,1000000,38275.5,0,961724.5,12/03/2019 00:00:00,,365,366,NM,,,Professional Service,NA,0,,
CP0588CAP Household Hazardous Waste Facility,DO-F165-16004399,Approved,Project Order,CNV498629,DO,102 - Design,Tempe,F165,21600,0,0,21600,11/24/2015 00:00:00,11/24/2015 00:00:00,100,0,AZ,MA-F165-15000240R1,Household Hazardous Waste Facility,Professional Service,,21110.9,,
CP0898GN08 AND CP0898GN15 UPGRADES TO SIX (6) EXISTING PUMPS IN THE GWRF SOLIDS HANDLING BUILDING GHD Project Order,DO-F165-23000381,Approved,Project Order,VS0000001483,DO,102 - Design,Pasadena,F165,82273,0,0,82273,07/27/2022 00:00:00,07/27/2022 00:00:00,395,396,CA,MA-F165-21000091R1,"GWRP Dewatering and Thickening Centrate Pumps Replacements, GWRP Dewatering and Thickening Centrate Pumps Replacements - FUNDING ONLY, GWRP Sludge Mixing and Recirculation Pump Replacements, GWRP Sludge Mixing and Recirculation Pump Replacements - FUNDING ONLY",Professional Service,NA,82273,,
Master On-Call 2016: Architectural Services - Perlman,MA-F165-17000203,Approved,Design Professional Master Contract,CNV49956,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,12/27/2016 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
CP0896INSP Central Mesa Reuse Pipeline Inspection and Assessment - Dibble Engineering,CT-F165-21000083,Approved,Design Professional Services Contract,CNV241687,CT,102 - Design,Phoenix,F165,197595.4,0,0,197595.4,04/22/2021 00:00:00,04/22/2021 00:00:00,200,201,AZ,,"""SO"" Central Mesa Reuse Pipeline:  Pipeline Inspection and Assessment, Central Mesa Reuse Pipeline INSP - FUNDING ONLY",Professional Service,NA,0,,
CP0741 MAPLE AND MAIN DRAINAGE RITOCH-POWELL,CT-F165-18000046,Approved,Design Professional Services Contract,CNV159158,CT,102 - Design,Phoenix,F165,54467.75,0,0,54467.75,12/07/2017 00:00:00,12/07/2017 00:00:00,100,101,AZ,,"Maple and Main Drainage, Maple and Main Drainage - FUNDING ONLY",Professional Service,NA,0,,
CP0956SR07 Country Club Sewer Relief - Garney Companies,DO-F165-22002860,Approved,Job Order,CNV390275,DO,104 - Construction,North Kansas City,F165,1195900.09,0,0,1195900.09,03/03/2022 00:00:00,11/02/2021 00:00:00,210,211,MO,MA-F165-19003238R2,"Relief Sewer on Country Club Drive - Southern to Hampton - SR07, Sewer Line Rehab SR07 - FUNDING ONLY",Construction,Job Order Contracting (JOC),1195900.09,,
Eagles Park Phase 1 CP0211 Marsh Development,CT-F165-17000134,Approved,Construction Services Contract for Design-Bid-Build Projects,VS0000007883,CT,118 - Grant - Construction,Tucson,F165,2270813.28,0,0,2270813.28,04/19/2017 00:00:00,04/03/2017 00:00:00,135,229,AZ,,"Eagles Park Conversion Phase 2, Mesa JH Conversion Project Phase 1",Construction,Design Bid Build (DBB),0,04/03/2017 00:00:00,
